Page,Clicks,Impressions,CTR,Position
/content-creation,245,18420,1.33,3.2
/content-distribution,189,15234,1.24,4.1
/onpage-seo,156,12450,1.25,3.8
/business-models,134,10890,1.23,4.5
/ai-automation-tools,98,7890,1.24,5.2
/content-marketing-guide,87,6543,1.33,6.1
/seo-content-optimization,76,5432,1.40,5.8
/business-scaling-strategies,65,4321,1.50,6.4
/interview-based-content,54,3210,1.68,7.1
/social-media-automation,43,2109,2.04,8.2
/newsletter-optimization,32,1543,2.07,9.1
/content-repurposing-guide,28,1234,2.27,10.5
/ai-content-creation-review,25,987,2.53,11.2
/technical-seo-checklist,21,876,2.40,12.1
/entrepreneurship-guide,19,765,2.48,13.4
